key,開催日,開催場,開催回,クラス,クラス特徴,着順,枠番,馬番,馬名,性,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,賞金,芝ダート,距離,天候,馬場
202109040403,2021年10月17日,阪神,4回4日目,2歳未勝利,(馬齢),6,8,9,デルマローレライ,牝,2,54,松若風馬,1:48.6,1.1/4,3-3,37.0,16.5,7.0,412(+2),,芝,1800m,晴,稍重
202109040403,2021年10月17日,阪神,4回4日目,2歳未勝利,(馬齢),7,5,5,フォアランナー,牡,2,55,川田将雅,1:48.8,1,5-5,37.0,3.7,2.0,510(+10),,芝,1800m,晴,稍重
202109040403,2021年10月17日,阪神,4回4日目,2歳未勝利,(馬齢),8,8,8,スリードレフォン,牡,2,55,古川吉洋,1:49.1,1.3/4,1-1,37.7,61.7,8.0,500(-2),,芝,1800m,晴,稍重
202109040403,2021年10月17日,阪神,4回4日目,2歳未勝利,(馬齢),9,7,7,グリーンバローズ,牡,2,55,松山弘平,1:49.1,クビ,2-2,37.7,2.8,1.0,462(+8),,芝,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),1,8,11,デリカダ,牝,2,54,和田竜二,1:55.5,,3-3-2-2,36.7,3.7,2.0,482(0),700.0,ダ,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),2,3,3,カフジオクタゴン,牡,2,55,坂井瑠星,1:56.1,3.1/2,9-9-1-1,37.5,7.4,4.0,542(0),280.0,ダ,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),3,5,5,コルトレーン,牡,2,52,角田大和,1:58.4,大,2-2-2-3,39.5,36.6,8.0,492(0),180.0,ダ,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),4,7,10,タガノカンデラ,牝,2,54,城戸義政,1:59.1,4,7-6-9-10,39.0,70.7,11.0,456(0),110.0,ダ,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),5,7,9,キューバンピート,牡,2,55,藤岡康太,1:59.2,3/4,7-8-7-4,39.8,22.8,7.0,478(0),70.0,ダ,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),6,6,8,サウンドグランツ,牡,2,55,松若風馬,1:59.3,3/4,11-11-9-7,39.5,46.4,9.0,448(0),,ダ,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),7,6,7,トーアマサムネ,牡,2,55,川須栄彦,1:59.5,1,11-11-12-11,39.0,68.1,10.0,458(0),,ダ,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),8,1,1,テンダーメモリー,牝,2,54,幸英明,2:00.2,4,9-9-11-9,40.0,20.8,6.0,446(0),,ダ,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),9,8,12,クリノヴィーナス,牝,2,54,吉田隼人,2:00.5,2,6-6-7-4,40.9,4.6,3.0,482(0),,ダ,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),10,5,6,アルムレジリエンス,牡,2,55,古川吉洋,2:00.6,3/4,4-4-5-7,41.0,72.3,12.0,446(0),,ダ,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),11,2,2,ヴェクトライズ,牡,2,55,松山弘平,2:01.6,6,1-1-2-4,42.6,9.9,5.0,492(0),,ダ,1800m,晴,稍重
202109040404,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),12,4,4,クラッシュタイム,牡,2,55,岩田望来,2:06.3,大,4-4-5-12,46.4,3.4,1.0,476(0),,ダ,1800m,晴,稍重
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),1,3,6,セルバーグ,牡,2,55,和田竜二,1:35.6,,4-4,35.3,29.5,8.0,430(0),700.0,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),2,1,2,サザンステート,牡,2,55,岩田望来,1:35.8,1.1/4,10-11,34.7,48.0,10.0,464(0),280.0,芝,1600m,晴,良
202109040405,2021年10月17日,阪神,4回4日目,2歳新馬,(馬齢),3,6,12,サトノドルチェ,牡,2,55,ルメール,1:35.8,アタマ,3-2,35.6,1.9,1.0,472(0),180.0,芝,1600m,晴,良
