key,開催日,開催場,開催回,クラス,クラス特徴,着順,枠番,馬番,馬名,性,年齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,賞金,芝ダート,距離,天候,馬場
202401010101,2024年07月20日,札幌,1回1日目,2歳未勝利,(混)[指](馬齢),1,5,5,ポッドベイダー,牡,2,55.0,佐々木大,1:08.8,,1-1,33.9,1.2,1.0,462(-2),550.0,芝,1200m,晴,良
202401010101,2024年07月20日,札幌,1回1日目,2歳未勝利,(混)[指](馬齢),2,2,2,ニシノクードクール,牝,2,55.0,武藤雅,1:09.1,1.3/4,2-2,34.1,10.2,4.0,452(-2),220.0,芝,1200m,晴,良
202401010101,2024年07月20日,札幌,1回1日目,2歳未勝利,(混)[指](馬齢),3,3,3,ロードヴェルト,牡,2,55.0,横山武史,1:09.4,1.3/4,3-3,34.0,7.9,3.0,416(+6),140.0,芝,1200m,晴,良
202401010101,2024年07月20日,札幌,1回1日目,2歳未勝利,(混)[指](馬齢),4,1,1,ルージュアマリア,牝,2,55.0,永野猛蔵,1:10.0,3.1/2,5-5,34.4,5.9,2.0,410(+6),83.0,芝,1200m,晴,良
202401010101,2024年07月20日,札幌,1回1日目,2歳未勝利,(混)[指](馬齢),5,4,4,ロードヴァルカン,牡,2,54.0,角田大河,1:10.1,クビ,3-3,34.7,21.3,5.0,438(-2),55.0,芝,1200m,晴,良
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),1,2,2,タミゼ,牝,3,55.0,北村友一,0:59.5,,3-3,35.5,3.9,2.0,474(-2),550.0,ダ,1000m,晴,良
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),2,5,6,タマモアルタイル,牡,3,57.0,武豊,1:00.0,3,5-3,35.9,9.4,6.0,494(+4),220.0,ダ,1000m,晴,良
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),3,6,8,ウィスピースノー,牝,3,54.0,角田大河,1:00.1,クビ,8-8,35.3,44.4,9.0,434(0),140.0,ダ,1000m,晴,良
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),4,6,7,スキーサンダー,牝,3,52.0,小林勝太,1:00.1,クビ,2-2,36.2,3.9,1.0,474(-2),83.0,ダ,1000m,晴,良
202401010102,2024年07月20日,札幌,1回1日目,3歳未勝利,[指](馬齢),5,7,10,ゴールドタリスマン,牝,3,55.0,武藤雅,1:00.2,クビ,6-6,35.8,90.0,10.0,424(+8),55.0,ダ,1000m,晴,良
